model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,4.1,"3,325 Ratings & 194 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,,No Warranty,₹930,"₹1,399",33% off
"Motorola G32 (Satin Silver, 128 GB)",4.1,"1,14,201 Ratings & 9,561 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories,"₹9,999","₹18,999",47% off
Micromax J3,4,172 Ratings & 11 Reviews,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,1 Year Company Domestic Warranty by Company Authorized Service Center.,,No Warranty,₹858,"₹1,549",44% off
"vivo T2 5G (Velocity Wave, 128 GB)",4.4,"1,01,624 Ratings & 6,734 Reviews",6 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹15,999","₹23,999",33% off
"POCO M6 5G (Polaris Green, 128 GB)",4.3,"11,869 Ratings & 835 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,499","₹12,999",26% off
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons",4.3,"1,208 Ratings & 88 Reviews",4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,6261D Processor,1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,"₹2,048","₹2,199",6% off
"REDMI 12 (Moonstone Silver, 128 GB)",4.3,"96,022 Ratings & 5,242 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹9,499","₹14,999",36% off
"POCO C65 (Matte Black, 128 GB)",4.2,"2,673 Ratings & 214 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP + AI Lens + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹8,299","₹11,999",30% off
"vivo T2 5G (Velocity Wave, 128 GB)",4.3,"17,410 Ratings & 1,233 Reviews",8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹17,999","₹24,999",28% off
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons",4.3,"1,208 Ratings & 88 Reviews",4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,6261D Processor,1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,"₹1,918","₹2,199",12% off
"Motorola G32 (Satin Maroon, 128 GB)",4.1,"1,14,201 Ratings & 9,561 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories,"₹9,999","₹18,999",47% off
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)",4.3,804 Ratings & 123 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹12,999","₹15,999",18% off
Micromax J3,4,172 Ratings & 11 Reviews,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,1 Year Manufacturer Warranty on Product and 6 Month on Box Accessories,,No Warranty,₹855,"₹1,549",44% off
"realme Narzo N53 (Feather Gold, 128 GB)",4.2,"4,623 Ratings & 238 Reviews",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹9,780","₹12,999",24% off
"Motorola e13 (Little Boy Blue, 128 GB)",4.1,"30,383 Ratings & 1,875 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹7,499","₹10,999",31% off
Nokia 105 Classic with Charger,4.1,201 Ratings & 16 Reviews,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,"₹1,099","₹1,399",21% off
"realme Narzo N53 (Feather Black, 128 GB)",4.2,"4,623 Ratings & 238 Reviews",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹10,790","₹12,999",16% off
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons",4.3,"1,208 Ratings & 88 Reviews",4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,6261D Processor,1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,"₹1,894","₹2,199",13% off
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)",4.3,804 Ratings & 123 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹12,999","₹15,999",18% off
"Nothing Phone (2a) 5G (White, 128 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹23,999","₹25,999",7% off
Kechaoda A27,4,"9,806 Ratings & 664 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) NA Display,0.5MP | 0MP Front Camera,800 mAh Battery,NA Processor,NO WARRANTY,₹970,"₹1,499",35% off
"MOTOROLA G04 (Satin Blue, 128 GB)",4.1,933 Ratings & 143 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,16MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹7,999","₹10,999",27% off
"REDMI 12 5G (Moonstone Silver, 128 GB)",4.3,"6,497 Ratings & 394 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹15,999",25% off
"Apple iPhone 15 (Pink, 128 GB)",4.6,"18,524 Ratings & 1,267 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,No Warranty,"₹72,999","₹79,900",8% off
Kechaoda A27,4,"9,806 Ratings & 664 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) FWVGA Display,0MP | 0MP Front Camera,800 mAh Battery,processor speed 400MHZ Processor,NO WARRANTY,₹970,"₹1,499",35% off
"realme 12 5G (Woodland Green, 128 GB)",4.3,423 Ratings & 51 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹16,999","₹19,999",15% off
