model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,4.1,"3,325 Ratings & 194 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,,No Warranty,₹999,"₹1,389",28% off
"Nokia 150 Dual Sim Keypad Mobile, Wireless FM radio, Bluetooth, MP3 player",4.1,"25,900 Ratings & 1,920 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Lithium-ion Battery,MediaTek Processor,NO WARRANTY,"₹1,989","₹2,999",33% off
"REDMI 13c 5G (Starlight Black, 256 GB)",4.2,"1,214 Ratings & 90 Reviews",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year,No Warranty,"₹13,954","₹17,999",22% off
LAVA Gem Power Dual Sim Keypad Phone|2575 mAh Battery| Expandable Upto 32 MB,4.1,723 Ratings & 68 Reviews,4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,7.11 cm (2.8 inch) QVGA Display,2MP Rear Camera,2575 mAh Battery,1 YEAR REPLACEMENT WARRANTY,No Warranty,"₹1,549","₹2,099",26% off
"REDMI 12 5G (Jade Black, 128 GB)",4.3,"6,497 Ratings & 394 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹15,999",25% off
"REDMI 13c 5G (Startrail Silver, 256 GB)",4.2,"1,214 Ratings & 90 Reviews",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year,No Warranty,"₹14,075","₹17,999",21% off
"REDMI 13c 5G (Startrail Green, 256 GB)",4.2,"1,214 Ratings & 90 Reviews",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year,No Warranty,"₹14,055","₹17,999",21% off
SAMSUNG Guru Music 2,4.2,"2,26,996 Ratings & 20,682 Reviews",NA ROM,5.08 cm (2 inch) QVGA Display,800 mAh Battery,NO WARRANTY,,No Warranty,"₹1,240","₹2,699",54% off
"realme 12 Pro 5G (Navigator Beige, 128 GB)",4.5,"8,000 Ratings & 1,187 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹24,999","₹29,999",16% off
GFive Z9,3.8,17 Ratings & 3 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,1 Year Manufacturer warranty.,No Warranty,₹664,₹999,33% off
"REDMI 13c 5G (Starlight Black, 128 GB)",4.3,"1,729 Ratings & 106 Reviews",4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year,No Warranty,"₹10,994","₹13,999",21% off
Nokia 106,4.2,"13,902 Ratings & 1,025 Reviews",4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,800 mAh Battery,NO WARRANTY,,No Warranty,"₹1,125","₹1,499",24% off
