time_id,order_year,quarter
t319,2016,Q3
t320,2016,Q3
t321,2016,Q3
t322,2016,Q3
t323,2016,Q3
t324,2016,Q3
t325,2016,Q3
t326,2016,Q3
t327,2016,Q3
t328,2016,Q3
t329,2016,Q3
t330,2016,Q3
t331,2016,Q3
t332,2016,Q3
t333,2016,Q3
t334,2016,Q3
t335,2016,Q3
t336,2016,Q3
t337,2016,Q3
t338,2016,Q3
t339,2016,Q3
t340,2016,Q3
t341,2016,Q3
t342,2016,Q3
t343,2016,Q3
t344,2016,Q3
t345,2016,Q3
t346,2016,Q3
t347,2016,Q3
t348,2016,Q3
t349,2016,Q3
t350,2016,Q3
t351,2016,Q3
t352,2016,Q3
t353,2016,Q3
t354,2016,Q3
t355,2016,Q3
t356,2016,Q3
t357,2016,Q3
t358,2016,Q3
t359,2016,Q3
t360,2016,Q3
t361,2016,Q3
t362,2016,Q3
t363,2016,Q3
t364,2016,Q3
t365,2016,Q3
t366,2016,Q3
t367,2016,Q3
t368,2016,Q3
t369,2016,Q3
t370,2016,Q3
t371,2016,Q3
t372,2016,Q3
t373,2016,Q3
t374,2016,Q3
t375,2016,Q3
t376,2016,Q3
t377,2016,Q3
t378,2016,Q3
t379,2016,Q3
t380,2016,Q3
t381,2016,Q3
t382,2016,Q3
t383,2016,Q3
t384,2016,Q3
t385,2016,Q3
t386,2016,Q3
t387,2016,Q3
t388,2016,Q3
t389,2016,Q3
t390,2016,Q3
t391,2016,Q3
t392,2016,Q3
t393,2016,Q3
t394,2016,Q3
t395,2016,Q3
t396,2016,Q3
t397,2016,Q3
t398,2016,Q3
t399,2016,Q3
t400,2016,Q3
t401,2016,Q3
t402,2016,Q3
t403,2016,Q3
t404,2016,Q3
t405,2016,Q3
t406,2016,Q3
t407,2016,Q3
t408,2016,Q3
t409,2016,Q3
t410,2016,Q3
t411,2016,Q3
t412,2016,Q3
t413,2016,Q3
t414,2016,Q3
t415,2016,Q3
t416,2016,Q3
t417,2016,Q3
t418,2016,Q3
t419,2016,Q3
t420,2016,Q3
t421,2016,Q3
t422,2016,Q3
t423,2016,Q3
t424,2016,Q3
t425,2016,Q3
t426,2016,Q3
t427,2016,Q3
t428,2016,Q3
t429,2016,Q3
t430,2016,Q3
t431,2016,Q3
t432,2016,Q3
t433,2016,Q3
t434,2016,Q3
t435,2016,Q3
t436,2016,Q3
t437,2016,Q3
t438,2016,Q3
t439,2016,Q3
t440,2016,Q3
t441,2016,Q3
t442,2016,Q3
t443,2016,Q3
t444,2016,Q3
t445,2016,Q3
t446,2016,Q3
t447,2016,Q3
t448,2016,Q3
t449,2016,Q3
t450,2016,Q3
t451,2016,Q3
t452,2016,Q3
t453,2016,Q3
t454,2016,Q3
t455,2016,Q3
t456,2016,Q3
